Dimension,Correlation,SNR,Seed
27,0.993950691262673,1.0,3
28,0.9939063261909279,1.0,3
29,0.9938699965454493,1.0,3
30,0.9936308682846581,1.0,3
31,0.9935054360569087,1.0,3
32,0.9932332986365024,1.0,3
33,0.9932294971020752,1.0,3
34,0.9931252360567072,1.0,3
35,0.9930697332109594,1.0,3
36,0.9926420530063006,1.0,3
37,0.9922372622203228,1.0,3
38,0.9914171215284001,1.0,3
39,0.9902535022644149,1.0,3
40,0.9895276492572969,1.0,3
41,0.9871984500570252,1.0,3
42,0.9866998233309797,1.0,3
43,0.9784319025583884,1.0,3
44,0.9671388446021247,1.0,3
45,0.9488230143217401,1.0,3
46,0.931911423724077,1.0,3
47,0.5929919855275262,1.0,3
48,0.517716550102478,1.0,3
0,0.9970866742420919,1.0,4
1,0.9963682108479414,1.0,4
2,0.9961551870893536,1.0,4
3,0.9960976366281696,1.0,4
4,0.9959690743527898,1.0,4
5,0.9959122391824421,1.0,4
6,0.9955829010331868,1.0,4
7,0.9953360565817679,1.0,4
8,0.9952991675374445,1.0,4
9,0.9952485751624088,1.0,4
10,0.9952015501481092,1.0,4
11,0.9951078296981454,1.0,4
12,0.9950940466846835,1.0,4
13,0.9950118785080656,1.0,4
14,0.9946418540083226,1.0,4
15,0.9946000947282045,1.0,4
16,0.9944229357895407,1.0,4
17,0.9943901826267982,1.0,4
18,0.9943770596189659,1.0,4
19,0.9941595334161931,1.0,4
20,0.993981452676357,1.0,4
21,0.9939549023313698,1.0,4
22,0.9938410831421081,1.0,4
23,0.9934542060843483,1.0,4
24,0.9933294066650618,1.0,4
25,0.9932080878580473,1.0,4
26,0.9928894028131152,1.0,4
27,0.9925842383750566,1.0,4
28,0.9920974639156798,1.0,4
29,0.992055165475365,1.0,4
30,0.9919171805919671,1.0,4
31,0.9907967262749382,1.0,4
32,0.9906724355471908,1.0,4
33,0.9904318298302313,1.0,4
34,0.9868562846094661,1.0,4
35,0.9862621841468652,1.0,4
36,0.9818260894270041,1.0,4
37,0.9796952104688288,1.0,4
38,0.9779250543871975,1.0,4
39,0.9765216445949427,1.0,4
40,0.9650791057312101,1.0,4
41,0.9602976444778074,1.0,4
42,0.9506615879305452,1.0,4
43,0.9363476260429582,1.0,4
44,0.8976393524545108,1.0,4
45,0.8964479219500044,1.0,4
46,0.8042292416948124,1.0,4
47,0.5836960940527,1.0,4
48,0.012704672730231114,1.0,4
0,0.9971459870470771,1.0,5
1,0.996215306259901,1.0,5
2,0.996179063281747,1.0,5
3,0.9960226738723212,1.0,5
4,0.996012184908699,1.0,5
5,0.995864157537583,1.0,5
6,0.9957369684803778,1.0,5
7,0.9956270299736008,1.0,5
8,0.9952823775853324,1.0,5
9,0.9951941487450566,1.0,5
10,0.9949819656766234,1.0,5
11,0.9948187810791482,1.0,5
12,0.9946813769528086,1.0,5
13,0.9946235634522792,1.0,5
14,0.9944735379069891,1.0,5
15,0.9944195479518543,1.0,5
16,0.9943938152983276,1.0,5
17,0.9943342887393218,1.0,5
18,0.9941840717575327,1.0,5
19,0.994069482105049,1.0,5
20,0.9939798907499257,1.0,5
21,0.9939224923436366,1.0,5
22,0.9937616279981107,1.0,5
23,0.9936843550772856,1.0,5
24,0.9936069429634469,1.0,5
25,0.9932704160803357,1.0,5
26,0.9931458888436516,1.0,5
27,0.9928659709114266,1.0,5
28,0.9928104486865955,1.0,5
29,0.992735710345214,1.0,5
30,0.9927248290501803,1.0,5
31,0.9922062617855788,1.0,5
32,0.9921309938416438,1.0,5
33,0.9920126155536364,1.0,5
34,0.99111756616554,1.0,5
35,0.9908134440190142,1.0,5
36,0.9903748580414986,1.0,5
37,0.9899774313063829,1.0,5
38,0.989049256967022,1.0,5
39,0.9889395551912921,1.0,5
40,0.9827234409591088,1.0,5
41,0.9744019269980038,1.0,5
42,0.9716115645819923,1.0,5
43,0.9531976525115275,1.0,5
44,0.9430029990361498,1.0,5
45,0.8768370058502805,1.0,5
46,0.7633347008886076,1.0,5
47,0.4801793344337563,1.0,5
48,0.12820089030127263,1.0,5
0,0.9971489832620289,1.0,6
1,0.9962991511270447,1.0,6
2,0.9962188372570668,1.0,6
3,0.9960519110196702,1.0,6
4,0.9959762690731049,1.0,6
5,0.995856029585719,1.0,6
6,0.9956965019719192,1.0,6
7,0.995553099652142,1.0,6
8,0.9955448635815399,1.0,6
9,0.9953112424891787,1.0,6
10,0.9952379207793113,1.0,6
11,0.9950459951874683,1.0,6
12,0.9947491416241566,1.0,6
13,0.9946968534279755,1.0,6
14,0.9946891384590202,1.0,6
15,0.9945715230683416,1.0,6
16,0.9944285811177626,1.0,6
17,0.9943151981982532,1.0,6
18,0.9941895647349889,1.0,6
19,0.9941069957378721,1.0,6
20,0.9939792802839638,1.0,6
21,0.9939648093147061,1.0,6
22,0.9939118465999262,1.0,6
23,0.9937230863250522,1.0,6
24,0.9936701073485504,1.0,6
25,0.9934203864011903,1.0,6
26,0.9932962999013424,1.0,6
27,0.9932823105020692,1.0,6
28,0.9931651304500148,1.0,6
29,0.9931330172830499,1.0,6
30,0.9928624386548621,1.0,6
31,0.9926101146078592,1.0,6
32,0.9923643792358978,1.0,6
33,0.9921629133715432,1.0,6
34,0.9921470060555297,1.0,6
35,0.9919079008827999,1.0,6
36,0.9911565482076977,1.0,6
37,0.9909276916742505,1.0,6
38,0.9899919489187877,1.0,6
39,0.9898208113918662,1.0,6
40,0.9895835277546255,1.0,6
41,0.9868846086865264,1.0,6
42,0.9407731449653558,1.0,6
43,0.9188523830533379,1.0,6
44,0.7564546754306397,1.0,6
45,0.7512286818756355,1.0,6
46,0.6135708496722974,1.0,6
47,0.3702786532572579,1.0,6
48,0.05970415390681302,1.0,6
0,0.9971550913028442,1.0,7
1,0.9963816202580759,1.0,7
2,0.9963118096130996,1.0,7
3,0.996243149373377,1.0,7
4,0.9961502220544478,1.0,7
5,0.9959205279819695,1.0,7
6,0.9957153599184219,1.0,7
7,0.9952267945850539,1.0,7
8,0.9951960737007097,1.0,7
9,0.9948326664975461,1.0,7
10,0.9947806903334709,1.0,7
11,0.9946792441662659,1.0,7
12,0.9944807115624857,1.0,7
13,0.9944205426051286,1.0,7
14,0.994255068160639,1.0,7
15,0.9942210911405965,1.0,7
16,0.9941042121168513,1.0,7
17,0.9938557969657186,1.0,7
18,0.9938388447502359,1.0,7
19,0.9937406456560475,1.0,7
20,0.9937107541973015,1.0,7
21,0.9936333555208536,1.0,7
22,0.9936284497193395,1.0,7
23,0.9934860405484964,1.0,7
24,0.9933598537223499,1.0,7
25,0.993350429720404,1.0,7
26,0.9931334320524511,1.0,7
27,0.9929650832799662,1.0,7
28,0.9929040092132739,1.0,7
29,0.9928784273666862,1.0,7
30,0.9928474320824243,1.0,7
31,0.9927418321346484,1.0,7
32,0.9925490953289509,1.0,7
33,0.9919600591112145,1.0,7
34,0.9919247510222633,1.0,7
35,0.9911745545794238,1.0,7
36,0.9910027556523726,1.0,7
37,0.9903665543883449,1.0,7
38,0.9881954518437096,1.0,7
39,0.9787955294569594,1.0,7
40,0.9781996249725495,1.0,7
41,0.9772235764613357,1.0,7
42,0.9691411180293411,1.0,7
43,0.9571926653915969,1.0,7
44,0.951969945540188,1.0,7
45,0.9505343375451609,1.0,7
46,0.9212535052440216,1.0,7
47,0.5900404762431368,1.0,7
48,0.14703229063235723,1.0,7
0,0.9971053223851263,1.0,8
1,0.9966644938817205,1.0,8
2,0.9963242931651982,1.0,8
3,0.9963013394076312,1.0,8
4,0.9961269047627404,1.0,8
5,0.9960623578490035,1.0,8
6,0.9959689234768747,1.0,8
7,0.9957523452317176,1.0,8
8,0.9953764962593061,1.0,8
9,0.9953434959745757,1.0,8
10,0.9952507897880889,1.0,8
11,0.9951807745242872,1.0,8
12,0.9949674568947146,1.0,8
13,0.9946072492548881,1.0,8
14,0.9944140398142561,1.0,8
15,0.9943393261941522,1.0,8
16,0.9943212034912836,1.0,8
17,0.9942204857925744,1.0,8
18,0.9942112650507312,1.0,8
19,0.9940493321353407,1.0,8
20,0.9940033629100102,1.0,8
21,0.9939832033181976,1.0,8
22,0.9937714050016492,1.0,8
23,0.9937677130824752,1.0,8
24,0.9937574723046216,1.0,8
25,0.993604790376982,1.0,8
26,0.9935312799865866,1.0,8
27,0.9933881281781426,1.0,8
28,0.9933652246500528,1.0,8
29,0.9932958751684973,1.0,8
30,0.9925513758243187,1.0,8
31,0.9915605247355282,1.0,8
32,0.9912517407533927,1.0,8
33,0.9906292807695335,1.0,8
34,0.9906149693214051,1.0,8
35,0.9905519379807547,1.0,8
36,0.9903004314168969,1.0,8
37,0.990046826603722,1.0,8
38,0.9897856389986976,1.0,8
39,0.98619122153545,1.0,8
40,0.9797779500825,1.0,8
41,0.9777064529621906,1.0,8
42,0.9533367455930104,1.0,8
43,0.9500462250173963,1.0,8
44,0.9467447182535251,1.0,8
45,0.9336032615089942,1.0,8
46,0.8263307018787894,1.0,8
47,0.7230128137942158,1.0,8
48,0.21160438123339426,1.0,8
0,0.9963641204004847,1.0,9
1,0.9963055336458321,1.0,9
2,0.9961681131231517,1.0,9
3,0.9958178659000401,1.0,9
4,0.9955277252909397,1.0,9
5,0.995216020424367,1.0,9
6,0.9952005771029543,1.0,9
7,0.9951998395590147,1.0,9
8,0.9951597168242009,1.0,9
9,0.994897602455418,1.0,9
10,0.9948084128176442,1.0,9
11,0.9947988442815507,1.0,9
12,0.99463419504812,1.0,9
13,0.994606851010455,1.0,9
14,0.9946012788948344,1.0,9
15,0.9945631966190466,1.0,9
16,0.9945098549221606,1.0,9
17,0.994388609245348,1.0,9
18,0.9943041904504929,1.0,9
19,0.9940754295787424,1.0,9
20,0.993976454060677,1.0,9
21,0.9937972555316991,1.0,9
22,0.9937279311697934,1.0,9
23,0.9936551006370924,1.0,9
24,0.993377431847947,1.0,9
25,0.9932653120903077,1.0,9
26,0.9930810738062469,1.0,9
27,0.9930596168114898,1.0,9
28,0.9930373568767124,1.0,9
29,0.9930112911372231,1.0,9
30,0.9919251912275542,1.0,9
31,0.9913669971882382,1.0,9
32,0.9834772282242498,1.0,9
33,0.9834150911488391,1.0,9
34,0.9810512419820328,1.0,9
35,0.9773303605570984,1.0,9
36,0.9731165756582829,1.0,9
37,0.9720426908257676,1.0,9
38,0.9717511261819329,1.0,9
39,0.9619162055327914,1.0,9
40,0.9529515176195881,1.0,9
41,0.9527347438751587,1.0,9
42,0.9331173789199136,1.0,9
43,0.8965006389415007,1.0,9
44,0.8794615777698763,1.0,9
45,0.876565970764433,1.0,9
46,0.4848543791062491,1.0,9
47,0.01425631263594713,1.0,9
48,-0.04392414928943007,1.0,9
0,0.9966551234347075,1.0,10
1,0.9963773428139212,1.0,10
2,0.9960995689699439,1.0,10
3,0.9960961401162776,1.0,10
4,0.9959464868575539,1.0,10
5,0.995709381694245,1.0,10
6,0.9953381065331893,1.0,10
7,0.9952439612393585,1.0,10
8,0.9950889028764673,1.0,10
9,0.9949952185283074,1.0,10
10,0.9949723839946825,1.0,10
11,0.9949190854872326,1.0,10
12,0.9946779706972017,1.0,10
13,0.9945586301771119,1.0,10
14,0.9945407728294684,1.0,10
15,0.9945153850236357,1.0,10
16,0.9943989683981462,1.0,10
17,0.9941962386640851,1.0,10
18,0.9941655063233974,1.0,10
19,0.9937562241084421,1.0,10
20,0.9935724371517314,1.0,10
21,0.9934388028851575,1.0,10
22,0.9933200842369444,1.0,10
23,0.9932745230154048,1.0,10
24,0.9932152329219152,1.0,10
25,0.9931217180455097,1.0,10
26,0.9931027307494481,1.0,10
27,0.9930429734833884,1.0,10
28,0.9928499015145588,1.0,10
29,0.9926490556314904,1.0,10
30,0.9925606406083035,1.0,10
31,0.9921649845885717,1.0,10
32,0.9920567171449882,1.0,10
33,0.9912317253107151,1.0,10
34,0.9909468951099635,1.0,10
35,0.9906412521859532,1.0,10
36,0.9898397872188609,1.0,10
37,0.9882239430060369,1.0,10
38,0.987620804791624,1.0,10
39,0.9864808060357904,1.0,10
40,0.9830217741419287,1.0,10
41,0.9669281896592614,1.0,10
42,0.94564489023988,1.0,10
43,0.9421186598103152,1.0,10
44,0.8974258583873626,1.0,10
45,0.7783330187862443,1.0,10
46,0.5044634892050434,1.0,10
47,0.4766124477481923,1.0,10
48,0.028299060793068622,1.0,10
0,0.9965327496411335,1.0,11
1,0.9964189458759423,1.0,11
2,0.9962458751911547,1.0,11
3,0.9962142400886861,1.0,11
4,0.9961730631592216,1.0,11
5,0.9959856484221591,1.0,11
6,0.995645567655673,1.0,11
7,0.9953660298649238,1.0,11
8,0.9953427162834034,1.0,11
9,0.9952173132490157,1.0,11
10,0.9951712425333464,1.0,11
11,0.9950002649942239,1.0,11
12,0.9947239431282385,1.0,11
13,0.994659360542528,1.0,11
14,0.9945904769411644,1.0,11
15,0.9945310048513759,1.0,11
16,0.9944147667847577,1.0,11
17,0.9943982787403309,1.0,11
18,0.9943547363744399,1.0,11
19,0.9942843172268727,1.0,11
20,0.9941343690478708,1.0,11
21,0.9940131946839351,1.0,11
22,0.9938709043637621,1.0,11
23,0.9934871015178615,1.0,11
24,0.9934218078878725,1.0,11
25,0.9933279448721958,1.0,11
26,0.9931928429383143,1.0,11
27,0.993155030199467,1.0,11
28,0.9931059497681891,1.0,11
29,0.9929805526820294,1.0,11
30,0.9924482805344367,1.0,11
31,0.9921341392943545,1.0,11
32,0.9920180258446526,1.0,11
33,0.9909672300210175,1.0,11
34,0.9902886289418722,1.0,11
35,0.9896447937529096,1.0,11
36,0.9891213503280013,1.0,11
37,0.9866583447732208,1.0,11
38,0.9850094444464886,1.0,11
39,0.9832482618120406,1.0,11
40,0.9825929490632868,1.0,11
41,0.9746573606903486,1.0,11
42,0.9647322007464717,1.0,11
43,0.9500401481506267,1.0,11
44,0.926499697234709,1.0,11
45,0.8666270718327876,1.0,11
46,0.6778140976320074,1.0,11
47,0.2972551546359709,1.0,11
48,0.08770166699936709,1.0,11
0,0.9961990782687246,1.0,12
1,0.9960509045790285,1.0,12
2,0.9958231612414695,1.0,12
3,0.9956108129424918,1.0,12
4,0.9954686429633216,1.0,12
5,0.9953117919692474,1.0,12
6,0.995209937805671,1.0,12
7,0.9951338144472431,1.0,12
8,0.995100933505703,1.0,12
9,0.9949760939715331,1.0,12
10,0.9948082031723622,1.0,12
11,0.9946521255546188,1.0,12
12,0.9946211617691669,1.0,12
13,0.99448446661522,1.0,12
14,0.9944568079363489,1.0,12
15,0.9942296256891422,1.0,12
16,0.9942008702505825,1.0,12
17,0.9940077827929666,1.0,12
18,0.9939249859358898,1.0,12
19,0.9935763828713802,1.0,12
20,0.9934892190958483,1.0,12
21,0.992814695056232,1.0,12
22,0.9927398850094798,1.0,12
23,0.9926667346892848,1.0,12
24,0.9925822520662266,1.0,12
25,0.992374615271424,1.0,12
26,0.9923281804529203,1.0,12
27,0.9922754099402519,1.0,12
28,0.992104154075512,1.0,12
29,0.9911006025654637,1.0,12
30,0.9895047937859588,1.0,12
31,0.98728566509602,1.0,12
32,0.9869296722269529,1.0,12
33,0.9864440491302499,1.0,12
34,0.9864422176261468,1.0,12
35,0.985584530653449,1.0,12
36,0.983621475093894,1.0,12
37,0.9827056622391956,1.0,12
38,0.9819793733837697,1.0,12
39,0.9766437340068428,1.0,12
40,0.9689539253972892,1.0,12
41,0.9688746968115761,1.0,12
42,0.9602751950731797,1.0,12
43,0.9573805404987281,1.0,12
44,0.8149555441012053,1.0,12
45,0.797923605560521,1.0,12
46,0.7154282776305456,1.0,12
47,0.029924688213410117,1.0,12
48,-0.006539925889961148,1.0,12
0,0.9970805933985726,1.0,13
1,0.9967385487838308,1.0,13
2,0.9964827342860658,1.0,13
3,0.9961977989594459,1.0,13
4,0.9961285188609954,1.0,13
5,0.9961155848784277,1.0,13
6,0.9959468606323918,1.0,13
7,0.9957372929052788,1.0,13
8,0.9957259513091042,1.0,13
9,0.9955331740738304,1.0,13
10,0.9954177590779915,1.0,13
11,0.9953943268755523,1.0,13
12,0.9953792551194997,1.0,13
13,0.9953720736176556,1.0,13
14,0.9953711606104532,1.0,13
15,0.9951955505454624,1.0,13
16,0.995170030874551,1.0,13
17,0.9947461923964964,1.0,13
18,0.9946975358349416,1.0,13
19,0.9945133307925956,1.0,13
20,0.9945003620817469,1.0,13
21,0.9944973558969141,1.0,13
22,0.9943206255699587,1.0,13
23,0.9942828015900114,1.0,13
24,0.9942362492551473,1.0,13
25,0.994193937612569,1.0,13
26,0.9938469520765397,1.0,13
27,0.9937222073915764,1.0,13
28,0.9936355679033565,1.0,13
29,0.9934886364926372,1.0,13
30,0.9934233321395808,1.0,13
31,0.9932745906715467,1.0,13
32,0.993176326756948,1.0,13
33,0.9931467516473192,1.0,13
34,0.9931240400267873,1.0,13
35,0.9927588097794128,1.0,13
36,0.9923387800270274,1.0,13
37,0.9914894627785391,1.0,13
38,0.9903065625219529,1.0,13
39,0.989322213648204,1.0,13
40,0.9889483618564365,1.0,13
41,0.9838492171427651,1.0,13
42,0.980009806530322,1.0,13
43,0.9750471338672012,1.0,13
44,0.9684675002752878,1.0,13
45,0.9514553316352543,1.0,13
46,0.9406615912337377,1.0,13
47,0.7310494830346197,1.0,13
48,0.643691625088576,1.0,13
0,0.9968853452851629,1.0,14
1,0.9967641021565516,1.0,14
2,0.9965150035061477,1.0,14
3,0.996118116472294,1.0,14
4,0.9961010176423366,1.0,14
5,0.9960305086639986,1.0,14
6,0.9956914146160557,1.0,14
7,0.9955887658696386,1.0,14
8,0.9954928011715571,1.0,14
9,0.9954240035642328,1.0,14
10,0.9951275451629928,1.0,14
11,0.9949744243204138,1.0,14
12,0.9947516427659384,1.0,14
13,0.9946047492110833,1.0,14
14,0.9943228685531528,1.0,14
15,0.9943010783858169,1.0,14
16,0.9940380444481739,1.0,14
17,0.99402852133272,1.0,14
18,0.9940158759789222,1.0,14
19,0.9939371871899934,1.0,14
20,0.9938987346130294,1.0,14
21,0.9938977133087771,1.0,14
22,0.9938599840503917,1.0,14
23,0.9938400254813747,1.0,14
24,0.9936913250381498,1.0,14
25,0.9936748516969602,1.0,14
26,0.9936478276501814,1.0,14
27,0.9933503687331781,1.0,14
28,0.9933440275711933,1.0,14
29,0.993344002736314,1.0,14
30,0.9932329118319672,1.0,14
31,0.9931007865322028,1.0,14
32,0.9929731329640314,1.0,14
33,0.992801660649918,1.0,14
34,0.9918764399698434,1.0,14
35,0.9908854670199744,1.0,14
36,0.9878979260945729,1.0,14
37,0.9874597087270494,1.0,14
38,0.9869159150523061,1.0,14
39,0.9854949455229137,1.0,14
40,0.9848248347624143,1.0,14
41,0.9806933116056513,1.0,14
42,0.9804954301193805,1.0,14
43,0.9780682785833468,1.0,14
44,0.9774181005388507,1.0,14
45,0.9772156537397847,1.0,14
46,0.9661517356998238,1.0,14
47,0.8689800604401355,1.0,14
48,0.4014983887800618,1.0,14
0,0.9963488800953691,1.0,15
1,0.9962164435464458,1.0,15
2,0.9962122453773326,1.0,15
3,0.9961988290440085,1.0,15
4,0.9959589731724681,1.0,15
5,0.9956856879964106,1.0,15
6,0.9954991883392585,1.0,15
7,0.9954395981297852,1.0,15
8,0.9954374781396588,1.0,15
9,0.9954007209492642,1.0,15
10,0.9952059543656472,1.0,15
11,0.9951513696521759,1.0,15
12,0.9950585781963104,1.0,15
13,0.9945789074653583,1.0,15
14,0.9945421080463962,1.0,15
15,0.9945208340898962,1.0,15
16,0.9945144353637668,1.0,15
17,0.9944978237463492,1.0,15
18,0.9944463931602707,1.0,15
19,0.9943689425056599,1.0,15
20,0.9942198474663975,1.0,15
21,0.9942056861456353,1.0,15
22,0.9941761306510323,1.0,15
23,0.9940382887373609,1.0,15
24,0.9940342824789004,1.0,15
25,0.994025309653696,1.0,15
26,0.9939210224704743,1.0,15
27,0.993431337839788,1.0,15
28,0.9934098941982419,1.0,15
29,0.993398234144085,1.0,15
30,0.9932995083096191,1.0,15
31,0.9932993638988141,1.0,15
32,0.9930340603148275,1.0,15
33,0.9928211740828831,1.0,15
34,0.9924854226124719,1.0,15
35,0.9918873567864788,1.0,15
36,0.991865394056589,1.0,15
37,0.9913735779846858,1.0,15
38,0.9904343308237892,1.0,15
39,0.9900250936208511,1.0,15
40,0.9722665761631111,1.0,15
41,0.9623060928285412,1.0,15
42,0.9579460174050224,1.0,15
43,0.9505957617111643,1.0,15
44,0.9178559481991809,1.0,15
45,0.8108641053665964,1.0,15
46,0.6308936586411913,1.0,15
47,0.5806863992398565,1.0,15
48,0.10071233702526172,1.0,15
0,0.9962892416745874,1.0,16
1,0.9960279500177641,1.0,16
2,0.9960051676701503,1.0,16
3,0.9959339868575322,1.0,16
4,0.9957282207634257,1.0,16
5,0.9956051610317951,1.0,16
6,0.995524507695809,1.0,16
7,0.9955154750932739,1.0,16
8,0.995221928693957,1.0,16
9,0.9949634985946961,1.0,16
10,0.9948401558190306,1.0,16
11,0.9948009163326219,1.0,16
12,0.99469612254275,1.0,16
13,0.9945785018740296,1.0,16
14,0.9944760101754259,1.0,16
15,0.9943640313980174,1.0,16
16,0.9943431449750701,1.0,16
17,0.9940900555111523,1.0,16
18,0.9939100431781623,1.0,16
19,0.9938829611600313,1.0,16
20,0.9938661281715666,1.0,16
21,0.99382055981278,1.0,16
22,0.9936925433190695,1.0,16
23,0.9936737179305725,1.0,16
24,0.9934099569091701,1.0,16
25,0.9933071741032565,1.0,16
26,0.9930615721831766,1.0,16
27,0.9929244084483185,1.0,16
28,0.9926165823212397,1.0,16
29,0.9925807477188328,1.0,16
30,0.992388813489789,1.0,16
31,0.9921107458128797,1.0,16
32,0.9919494558597788,1.0,16
33,0.991400393962869,1.0,16
34,0.9910095283407928,1.0,16
35,0.990552422531989,1.0,16
36,0.9900021449793005,1.0,16
37,0.989706575633577,1.0,16
38,0.985641962738957,1.0,16
39,0.9845819077585989,1.0,16
40,0.9825308423408547,1.0,16
41,0.9780157320970636,1.0,16
